# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = sho_loop_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = sho_group.data.R
# init = 2 (Default)
# random
#   seed = 2534141114
# output
#   file = pmx_sample.1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,theta.1.1,theta.2.1,y.1.1.1,y.2.1.1,y.1.2.1,y.2.2.1,y.1.3.1,y.2.3.1,y.1.4.1,y.2.4.1,y.1.5.1,y.2.5.1,y.1.6.1,y.2.6.1,y.1.7.1,y.2.7.1,y.1.1.2,y.2.1.2,y.1.2.2,y.2.2.2,y.1.3.2,y.2.3.2,y.1.4.2,y.2.4.2,y.1.5.2,y.2.5.2,y.1.6.2,y.2.6.2,y.1.7.2,y.2.7.2
# Adaptation terminated
# Step size = 0.661512
# Diagonal elements of inverse mass matrix:
# 0.0575947, 0.0646488, 0.0638189, 0.0835454, 0.0354917, 0.0240679
-12.2476,0.984263,0.661512,2,7,0,13.7729,1.13052,0.959832,1.29794,0.764258,3.30592,2.97967,0.0850092,0.0863336,0.251756,0.274105,0.192694,0.206904,0.138257,0.14225,0.098757,0.0968625,0.0705194,0.0658873,0.0130906,0.00958863,0.714478,0.73822,-0.0334431,-0.0309549,-0.0622626,-0.0741755,-0.0464296,-0.0544173,-0.0332544,-0.0373071,-0.0237505,-0.0253957,-0.0044089,-0.00369619
-13.7279,0.912776,0.661512,2,3,0,14.339,1.28145,0.78685,1.37217,0.533177,2.8332,2.92916,0.0869373,0.0865411,0.285332,0.277886,0.214123,0.209327,0.143901,0.142832,0.0953928,0.0964065,0.0631212,0.0649883,0.00799613,0.00903902,0.749134,0.741965,-0.0289828,-0.0303446,-0.0805742,-0.0763,-0.0587609,-0.0558539,-0.0393565,-0.0379963,-0.0260779,-0.0256371,-0.00330423,-0.00356622
-13.8238,0.953112,0.661512,3,7,0,15.9534,1.09053,0.772639,1.20455,0.652806,2.54774,2.56253,0.0881307,0.0880683,0.3097,0.308349,0.230087,0.229189,0.146703,0.146575,0.0909845,0.0912735,0.0561148,0.0565394,0.00497351,0.0051247,0.770869,0.769727,-0.0230494,-0.0234372,-0.0953828,-0.0945296,-0.0690595,-0.0684546,-0.0438422,-0.0435918,-0.0271674,-0.0271224,-0.00241081,-0.00246108
-12.8402,0.968382,0.661512,3,7,0,16.2692,1.04486,1.50381,0.674816,0.68497,3.35808,2.86393,0.0848001,0.0868102,0.248489,0.282909,0.190628,0.212559,0.137592,0.143564,0.0989197,0.0957396,0.0710977,0.0637429,0.0136357,0.00832968,0.710754,0.74683,-0.0336471,-0.0294493,-0.0606145,-0.0791701,-0.0453294,-0.0578033,-0.0326649,-0.0389134,-0.0234813,-0.0259396,-0.00450351,-0.00339029
-14.3807,0.834859,0.661512,2,7,0,15.6724,0.978411,1.6231,0.69479,0.6373,2.25029,2.79438,0.0893981,0.0870983,0.339186,0.288444,0.25014,0.216138,0.148731,0.144318,0.0833278,0.0949233,0.0457802,0.0623028,0.0021867,0.00757612,0.794187,0.752053,-0.0128984,-0.0283507,-0.114881,-0.0823963,-0.0833621,-0.0600077,-0.0493723,-0.0399264,-0.0276268,-0.0262481,-0.00133259,-0.00319267
-14.3884,0.981842,0.661512,2,7,0,15.5288,0.940601,1.42525,0.768336,0.529801,2.17209,2.68019,0.0897353,0.0875742,0.347738,0.297958,0.256143,0.222337,0.149053,0.145484,0.0806075,0.0933195,0.0423923,0.0596625,0.00156743,0.00635281,0.800434,0.760706,-0.00936042,-0.0261896,-0.120834,-0.0880929,-0.0879394,-0.06394,-0.0510082,-0.0416735,-0.0275528,-0.0267139,-0.00103795,-0.00284598
-12.3142,0.942998,0.661512,3,7,0,16.0523,1.40413,0.999156,0.925584,0.690972,3.44689,2.62308,0.0844456,0.0878136,0.2431,0.302924,0.187224,0.225601,0.136449,0.146029,0.0991242,0.0923804,0.0719953,0.0582011,0.0145513,0.0057515,0.704457,0.765071,-0.0338952,-0.0249251,-0.0579489,-0.0911415,-0.04355,-0.0660681,-0.0316947,-0.0425889,-0.0230228,-0.0269227,-0.00465328,-0.00266254
-11.2441,0.923457,0.661512,2,3,0,13.4806,1.10577,0.901698,0.848906,0.692112,2.91319,2.99938,0.0866069,0.0862527,0.279101,0.272654,0.210108,0.205975,0.143014,0.14202,0.0962516,0.0970271,0.0646923,0.0662235,0.00886523,0.00980306,0.743153,0.736763,-0.0301369,-0.0311745,-0.0769893,-0.0733684,-0.0563212,-0.0538727,-0.038218,-0.0370429,-0.0257122,-0.0253,-0.00352398,-0.00374546
-14.2763,0.757069,0.661512,2,3,0,14.7853,0.889895,1.10328,1.35813,0.548311,2.27804,2.83792,0.0892788,0.0869178,0.336236,0.284957,0.24809,0.213881,0.148593,0.14385,0.0842128,0.0954474,0.0469074,0.0632182,0.00242035,0.0080473,0.791982,0.74878,-0.0140576,-0.0290563,-0.112857,-0.0803565,-0.0818305,-0.0586122,-0.048812,-0.039288,-0.0276292,-0.0260569,-0.00143693,-0.00331757
-14.8569,0.922379,0.661512,3,7,0,17.9416,1.60176,1.65013,0.653626,0.607817,3.09852,2.57989,0.0858479,0.0879952,0.265562,0.306777,0.201451,0.228147,0.140837,0.146422,0.0977481,0.091603,0.0677962,0.057028,0.0108778,0.00530307,0.729481,0.76839,-0.0321318,-0.0238798,-0.0694907,-0.0935416,-0.051265,-0.0677563,-0.0357537,-0.0433008,-0.0248093,-0.0270676,-0.00398083,-0.00251954
