# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = sho_pmx_loop_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = sho_group.data.R
# init = 2 (Default)
# random
#   seed = 2534141114
# output
#   file = sample4.pmx.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,theta.1.1,theta.2.1,y.1.1.1,y.2.1.1,y.1.2.1,y.2.2.1,y.1.3.1,y.2.3.1,y.1.4.1,y.2.4.1,y.1.5.1,y.2.5.1,y.1.6.1,y.2.6.1,y.1.7.1,y.2.7.1,y.1.1.2,y.2.1.2,y.1.2.2,y.2.2.2,y.1.3.2,y.2.3.2,y.1.4.2,y.2.4.2,y.1.5.2,y.2.5.2,y.1.6.2,y.2.6.2,y.1.7.2,y.2.7.2
# Adaptation terminated
# Step size = 0.61411
# Diagonal elements of inverse mass matrix:
# 0.0564818, 0.0707226, 0.064532, 0.0906383, 0.0292647, 0.0278412
-14.8358,0.921272,0.61411,3,7,0,19.2418,1.4721,1.64501,0.617276,0.671038,3.354,3.60454,0.0848164,0.0838213,0.248742,0.234051,0.190788,0.181509,0.137645,0.134396,0.0989081,0.0992886,0.0710539,0.0733439,0.0135933,0.0161314,0.711045,0.693417,-0.0336328,-0.0340668,-0.0607412,-0.0536192,-0.045414,-0.0406557,-0.0327105,-0.0300705,-0.0235024,-0.0222142,-0.00449629,-0.00488586
-12.5175,0.753523,0.61411,3,7,0,19.8179,0.835363,0.90695,0.908196,0.506544,2.81979,3.12167,0.0869929,0.0857537,0.2864,0.263953,0.214814,0.200428,0.144046,0.140555,0.0952347,0.0978924,0.0628429,0.0681366,0.00785091,0.0111277,0.75014,0.727791,-0.02877,-0.0323221,-0.0811972,-0.0686267,-0.0591866,-0.0506855,-0.039552,-0.0354618,-0.0261373,-0.0246928,-0.00326607,-0.00403286
-13.5116,0.944539,0.61411,3,7,0,14.4624,1.41805,1.49073,0.980381,0.977871,3.40429,2.97052,0.0846154,0.0863711,0.245658,0.274784,0.188839,0.207338,0.136999,0.142357,0.099037,0.0967836,0.071578,0.0657284,0.0141142,0.00948907,0.707471,0.738897,-0.0337911,-0.0308494,-0.059206,-0.0745543,-0.0443892,-0.0546731,-0.0321549,-0.0374306,-0.0232427,-0.0254398,-0.00458319,-0.00367304
-12.3685,0.999456,0.61411,3,7,0,14.5181,1.13446,1.3612,0.972348,0.527473,2.77284,2.75316,0.0871878,0.0872697,0.290198,0.291816,0.217276,0.218328,0.144545,0.14475,0.0946469,0.0943841,0.0618318,0.0613909,0.00734373,0.007132,0.753678,0.755165,-0.0279783,-0.0276242,-0.083432,-0.0843935,-0.0607186,-0.0613802,-0.0402478,-0.0405447,-0.0263402,-0.0264228,-0.00312937,-0.00307068
-12.4946,0.995202,0.61411,2,7,0,12.8304,1.03348,1.41328,0.945514,0.536791,2.8247,2.68684,0.0869726,0.0875464,0.286008,0.297389,0.21456,0.221965,0.143993,0.145419,0.0952931,0.0934226,0.0629453,0.0598262,0.00790405,0.00642331,0.749772,0.7602,-0.0288486,-0.0263285,-0.0809684,-0.0877471,-0.0590302,-0.0636997,-0.0394803,-0.0415689,-0.0261156,-0.0266884,-0.00328008,-0.0028669
-13.3014,0.929261,0.61411,3,7,0,14.4183,1.03982,1.17644,0.900637,1.08193,2.5489,3.56318,0.0881258,0.0839845,0.309593,0.236364,0.230016,0.18297,0.146693,0.134937,0.0910076,0.099268,0.0561486,0.0730184,0.00498541,0.0157228,0.770779,0.696296,-0.0230803,-0.034052,-0.0953151,-0.0547082,-0.0690114,-0.0413844,-0.0438223,-0.0304849,-0.0271639,-0.0224253,-0.00241479,-0.00482879
-16.0146,0.872366,0.61411,2,3,0,17.9799,1.45356,0.80001,0.788458,1.04116,4.16323,3.25544,0.0816595,0.0852123,0.206526,0.254995,0.164041,0.194744,0.127083,0.138896,0.0983889,0.0985671,0.0761722,0.069921,0.021186,0.012558,0.655664,0.718101,-0.0327616,-0.0332008,-0.0415795,-0.06392,-0.0325165,-0.0475365,-0.0251807,-0.0338394,-0.0194949,-0.0240106,-0.00542216,-0.00431245
-15.8288,1,0.61411,3,7,0,17.715,1.57289,0.894492,0.807743,1.00985,4.14837,2.82691,0.081716,0.0869634,0.207177,0.285832,0.164458,0.214447,0.127276,0.143969,0.098435,0.0953191,0.0761283,0.0629911,0.0210633,0.00792796,0.656641,0.749606,-0.032823,-0.0288837,-0.0418451,-0.0808658,-0.0326985,-0.0589601,-0.0252954,-0.0394481,-0.0195632,-0.0261059,-0.0054128,-0.00328637
-15.9005,0.988112,0.61411,3,7,0,18.7219,0.742284,1.40351,0.899225,0.494156,2.06645,3.00358,0.0901938,0.0862356,0.359878,0.272347,0.26483,0.205779,0.149313,0.141971,0.0763413,0.0970612,0.0372706,0.066294,0.000838063,0.00984867,0.80895,0.736453,-0.00388943,-0.03122,-0.129497,-0.0731982,-0.0948029,-0.053758,-0.0533657,-0.036987,-0.027266,-0.0252796,-0.000645666,-0.00375584
-15.6149,0.995628,0.61411,3,7,0,18.1334,1.81634,0.889904,0.917646,0.903755,4.06576,3.11629,0.082031,0.0857756,0.210875,0.264325,0.166818,0.200665,0.12835,0.140621,0.0986736,0.0978597,0.0758573,0.0680584,0.0203694,0.0110697,0.662099,0.728183,-0.0331442,-0.032279,-0.0433696,-0.068826,-0.0337403,-0.0508191,-0.0259474,-0.0355293,-0.0199478,-0.02472,-0.00535642,-0.00402088
